team_ID,sales_agent,manager,regional_office
CE0001,Anna Snelling,Dustin Brinkmann,Central
CE0002,Cecily Lampkin,Dustin Brinkmann,Central
CE0003,Versie Hillebrand,Dustin Brinkmann,Central
CE0004,Lajuana Vencill,Dustin Brinkmann,Central
CE0005,Moses Frase,Dustin Brinkmann,Central
CE0006,Jonathan Berthelot,Melvin Marxen,Central
CE0007,Marty Freudenburg,Melvin Marxen,Central
CE0008,Gladys Colclough,Melvin Marxen,Central
CE0009,Niesha Huffines,Melvin Marxen,Central
CE0010,Darcel Schlecht,Melvin Marxen,Central
CE0011,Mei-Mei Johns,Melvin Marxen,Central
EA0012,Violet Mclelland,Cara Losch,East
EA0013,Corliss Cosme,Cara Losch,East
EA0014,Rosie Papadopoulos,Cara Losch,East
EA0015,Garret Kinder,Cara Losch,East
EA0016,Wilburn Farren,Cara Losch,East
EA0017,Elizabeth Anderson,Cara Losch,East
EA0018,Daniell Hammack,Rocco Neubert,East
EA0019,Cassey Cress,Rocco Neubert,East
EA0020,Donn Cantrell,Rocco Neubert,East
EA0021,Reed Clapper,Rocco Neubert,East
EA0022,Boris Faz,Rocco Neubert,East
EA0023,Natalya Ivanova,Rocco Neubert,East
WE0024,Vicki Laflamme,Celia Rouche,West
WE0025,Rosalina Dieter,Celia Rouche,West
WE0026,Hayden Neloms,Celia Rouche,West
WE0027,Markita Hansen,Celia Rouche,West
WE0028,Elease Gluck,Celia Rouche,West
WE0029,Carol Thompson,Celia Rouche,West
WE0030,James Ascencio,Summer Sewald,West
WE0031,Kary Hendrixson,Summer Sewald,West
WE0032,Kami Bicknell,Summer Sewald,West
WE0033,Zane Levy,Summer Sewald,West
WE0034,Maureen Marcano,Summer Sewald,West
WE0035,Carl Lin,Summer Sewald,West
